Name Currency,Price,+/-,%,market cap,circulating supply,Volume,Last Updated
Litecoin,86.4361,0.74,0.86%,6.44 B,"74,560,612",447.89 M,12:56:00 AM
Internet Computer,12.9306,0.12,0.95%,6.00 B,"464,270,145",104.56 M,12:55:00 AM
Pepe,0.0000,0.00,4.12%,5.85 B,"420,689,899,999,995",2.81 B,12:55:00 AM
Uniswap,9.4371,0.13,1.37%,5.65 B,"598,930,295",227.11 M,12:55:00 AM
UNUS SED LEO,5.9891,0.01,0.13%,5.55 B,"926,359,987",2.81 M,12:55:00 AM
Dai,0.9999,0.00,0.00%,5.35 B,"5,347,888,596",384.24 M,12:55:00 AM
Ethereum Classic,31.2266,0.83,2.73%,4.60 B,"147,188,999",467.11 M,12:55:00 AM
Wrapped eETH,"3,924.6244",40.41,1.04%,4.50 B,"1,147,539",66.53 M,12:56:00 AM
Render Token,10.6174,-0.02,-0.17%,4.13 B,"388,643,224",840.46 M,12:55:00 AM
Hedera,0.1148,0.00,1.40%,4.10 B,"35,749,981,467",62.10 M,12:55:00 AM
Wrapped HBAR,0.1143,0.00,0.88%,4.09 B,"35,749,981,467",0.00,12:55:00 AM
Aptos,9.0899,0.10,1.14%,3.96 B,"435,317,488",152.90 M,12:55:00 AM
Renzo Restaked ETH,"3,712.5922",31.54,0.86%,3.91 B,"1,052,754",50.45 M,12:55:00 AM
Immutable X,2.5442,0.02,0.97%,3.77 B,"1,482,345,419",69.16 M,12:56:00 AM
Bitcoin BEP2,"69,515.6323",363.05,0.53%,3.77 B,"54,239",97.26 M,12:55:00 AM
Wrapped Beacon ETH,"3,933.6228",53.18,1.37%,3.53 B,"896,343",5.82 M,12:56:00 AM
Mantle,1.0546,0.01,0.88%,3.44 B,"3,264,441,708",96.35 M,12:56:00 AM
Filecoin,6.1555,0.05,0.76%,3.42 B,"555,492,327",216.87 M,12:56:00 AM
Cosmos,8.5924,0.04,0.43%,3.36 B,"390,930,671",148.12 M,12:55:00 AM
Kaspa,0.1411,0.00,3.11%,3.35 B,"23,713,528,938",60.67 M,12:55:00 AM
Crypto.com Coin,0.1259,0.00,-0.02%,3.34 B,"26,571,560,696",13.90 M,12:55:00 AM
First Digital USD,0.9988,0.00,0.04%,3.33 B,"3,337,655,344",7.84 B,12:55:00 AM
The Graph,0.3409,-0.01,-1.71%,3.24 B,"9,509,027,424",180.61 M,12:55:00 AM
Stellar,0.1114,0.00,0.69%,3.23 B,"28,961,925,006",70.59 M,12:55:00 AM
Bittensor,461.5337,16.27,3.65%,3.14 B,"6,812,984",69.23 M,12:56:00 AM
Arbitrum,1.1736,0.03,2.75%,3.11 B,"2,653,939,384",716.45 M,12:55:00 AM
Stacks,2.0812,0.02,1.03%,3.04 B,"1,460,940,466",86.29 M,12:55:00 AM
OKB,49.8082,0.17,0.33%,2.99 B,"60,000,000",5.81 M,12:55:00 AM
dogwifhat,2.9902,-0.04,-1.30%,2.99 B,"998,905,956",1.41 B,12:56:00 AM
Optimism,2.6811,0.01,0.53%,2.91 B,"1,086,889,963",529.88 M,12:55:00 AM
Arweave,44.4373,-0.25,-0.56%,2.91 B,"65,454,185",139.92 M,12:55:00 AM
Maker,"2,961.3694",22.57,0.77%,2.75 B,"927,625",91.46 M,12:55:00 AM
VeChain,0.0362,0.00,1.16%,2.64 B,"72,714,516,834",60.45 M,12:55:00 AM
Sui,1.1167,0.01,1.10%,2.61 B,"2,339,196,966",205.61 M,12:56:00 AM
Ethena USDe,1.0010,0.00,0.01%,2.58 B,"2,572,717,879",87.54 M,12:55:00 AM
Monero,139.1282,0.64,0.47%,2.57 B,"18,440,212",52.66 M,12:56:00 AM
Injective Protocol,27.3731,0.13,0.47%,2.56 B,"93,400,000",79.02 M,12:55:00 AM
THETA,2.4827,0.02,0.61%,2.48 B,"1,000,000,000",47.01 M,12:56:00 AM
Fantom,0.8474,0.01,0.60%,2.38 B,"2,803,634,836",227.48 M,12:55:00 AM
THORChain,6.5936,0.07,1.14%,2.21 B,"334,515,022",220.08 M,12:56:00 AM
Bonk,0.0000,0.00,1.71%,2.20 B,"67,136,539,630,819",672.03 M,12:55:00 AM
Floki Inu,0.0002,0.00,1.25%,2.16 B,"9,558,731,666,829",490.78 M,12:55:00 AM
Fetch.ai,2.5033,-0.02,-0.91%,2.12 B,"848,193,896",486.51 M,12:55:00 AM
Rocket Pool ETH,"4,168.8152",18.66,0.45%,2.12 B,"508,143",11.69 M,12:55:00 AM
Lido DAO Token,2.1083,0.01,0.66%,1.88 B,"892,322,258",183.31 M,12:55:00 AM
Mantle Staked Ether,"3,899.5120",39.89,1.03%,1.80 B,"460,397",7.99 M,12:56:00 AM
Celestia,9.6498,0.11,1.15%,1.76 B,"182,249,007",151.84 M,12:56:00 AM
Pyth Network,0.4639,0.00,-0.21%,1.68 B,"3,624,988,979",213.43 M,12:55:00 AM
Gala,0.0461,0.00,0.32%,1.64 B,"35,663,049,548",618.39 M,12:55:00 AM
Jupiter,1.1997,0.01,0.70%,1.62 B,"1,350,000,000",177.93 M,12:55:00 AM
Sei,0.5533,0.01,1.71%,1.62 B,"2,925,000,000",86.98 M,12:55:00 AM
Bitget Token,1.1113,-0.01,-0.74%,1.56 B,"1,400,000,000",32.66 M,12:55:00 AM
Zeebu,4.6842,0.05,1.09%,1.54 B,"329,707,787",45.51 M,12:55:00 AM
Algorand,0.1872,0.00,1.10%,1.53 B,"8,160,209,813",48.27 M,12:55:00 AM
Core,1.6932,0.01,0.47%,1.51 B,"889,225,076",62.38 M,12:55:00 AM
Flow,0.9492,0.01,0.98%,1.43 B,"1,508,945,933",44.06 M,12:56:00 AM
Aave,95.7373,1.35,1.43%,1.42 B,"14,818,061",81.29 M,12:55:00 AM
Starknet,1.2293,0.02,1.70%,1.40 B,"1,140,483,200",176.07 M,12:56:00 AM
Beam,0.0280,0.00,0.17%,1.39 B,"49,466,004,168",26.93 M,12:55:00 AM
Akash Network,5.7178,-0.12,-2.08%,1.36 B,"237,729,283",31.97 M,12:55:00 AM
Ondo,0.9740,0.04,4.37%,1.35 B,"1,389,759,838",178.65 M,12:55:00 AM
SingularityNET,1.0412,-0.02,-1.94%,1.34 B,"1,283,425,719",198.34 M,12:56:00 AM
Bitcoin SV,66.2672,0.48,0.73%,1.31 B,"19,705,166",42.18 M,12:55:00 AM
Ethena,0.8569,0.01,0.70%,1.30 B,"1,520,312,500",299.10 M,12:55:00 AM
Venus BNB,14.9906,0.04,0.28%,1.26 B,"84,327,095",821.31 M,12:55:00 AM
BitTorrent (new),0.0000,0.00,0.58%,1.20 B,"968,246,428,571,000",28.77 M,12:55:00 AM
Quant,96.4932,0.33,0.35%,1.16 B,"12,072,738",18.62 M,12:55:00 AM
Flare,0.0285,0.00,0.91%,1.16 B,"40,753,559,261",10.42 M,12:55:00 AM
dYdX (Native),2.0554,0.04,2.13%,1.15 B,"558,480,505",46.66 M,12:55:00 AM
Axie Infinity,7.8553,0.09,1.16%,1.14 B,"145,081,548",43.84 M,12:55:00 AM
Neo,15.7633,0.14,0.90%,1.11 B,"70,538,831",39.78 M,12:55:00 AM
Cheelee,20.3381,0.19,0.95%,1.09 B,"53,837,996",6.96 M,12:55:00 AM
Chiliz,0.1230,0.00,1.28%,1.09 B,"8,888,289,967",68.51 M,12:55:00 AM
JasmyCoin,0.0218,0.00,2.21%,1.07 B,"49,299,999,677",112.00 M,12:56:00 AM
Elrond,39.7095,0.60,1.53%,1.07 B,"26,971,090",32.90 M,12:55:00 AM
Marinade Staked SOL,211.8257,1.68,0.80%,1.07 B,"5,041,945",26.28 M,12:55:00 AM
Worldcoin,4.9500,-0.01,-0.28%,1.06 B,"214,408,036",412.13 M,12:55:00 AM
Wormhole,0.5833,0.01,1.37%,1.05 B,"1,800,000,000",70.22 M,12:55:00 AM
The Sandbox,0.4607,0.00,1.01%,1.04 B,"2,265,731,926",82.11 M,12:56:00 AM
